name,category,exciter,material,patch_level_db,loudness_db,peak_db,hard_note_peak_db,tail_db,centroid_hz,sustain_db,width_db,modulation_db,pitch_cents,note_vs_strongest_db
Xylophone,WOOD,strike,wood,-4.9,-28.2976,-8.10882,-2.99649,-239.602,487.702,-74.7175,-13.3043,10.5923,0.101398,0
Guitar Body Tap,WOOD,strike,wood,3.09,-20.9958,-5.96314,-6.04946,-239.393,269.249,-75.8548,-13.5135,8.87887,0.0591702,0
Cigar Box Slide,WOOD,pluck,wood,5.16,-24.774,-11.5068,-3.93578,-239.925,1517.51,-121.659,-12.709,1.93069,0.279968,0
Clavichord,WOOD,pluck,wood,3.12,-28.5447,-10.2583,-2.99779,-239.982,363.795,-128.734,-14.0528,3.27483,0.940027,0
Treehouse,WOOD,strike,wood,1.72,-21.0002,-7.45437,-8.54091,-227.25,335.061,-49.0295,-10.5097,1.62743,0.00329967,0
Driftwood,WOOD,strike,wood,5.78,-20.9953,-6.03435,-8.01682,-239.735,216.863,-98.0357,-13.7848,4.94686,0.568651,0
Woodpecker,WOOD,strike,wood,0.4,-25.1103,-7.29613,-2.99539,-239.957,454.53,-125.885,-10.2827,4.0861,0.483894,0
Pine Needles,WOOD,pluck,wood,4.09,-25.3054,-6.91537,-3.00069,-239.961,422.276,-127.078,-16.4549,2.63767,2.40037,-8.66789
Mokugyo,WOOD,strike,wood,2.32,-21.0042,-6.12629,-9.11083,-235.138,238.813,-61.4834,-13.9722,7.38929,0.0905158,0
Marimba Bass,WOOD,strike,wood,-0.31,-21,-9.78092,-13.2934,-219.088,216.623,-38.2575,-22.3421,2.22945,0.104218,0
Hollow Log,WOOD,strike,wood,1.86,-20.9961,-6.98981,-7.01749,-235.637,256.54,-59.7914,-15.2174,5.61412,0.0930421,0
Spruce Harp,WOOD,pluck,wood,0.64,-20.9995,-7.85335,-9.10337,-227.906,279.357,-51.9491,-15.0764,3.18718,0.305842,0
Bamboo Pipes,WOOD,strike,wood,1.24,-21.0029,-7.48828,-6.76925,-229.997,300.439,-53.351,-12.1329,1.94397,0.134984,0
Wooden Toy,WOOD,strike,wood,-2.93,-27.1473,-9.23642,-2.9971,-239.9,482.748,-84.7603,-10.8386,10.4084,0.131997,0
Forest Floor,WOOD,strike,wood,5.98,-24.9801,-7.64599,-3.00361,-239.697,537.221,-98.7765,-7.06034,6.74233,-1.10562,0
Luthier's Bench,WOOD,strike,wood,-1.32,-21.0629,-4.41918,-3.00315,-220.532,534.781,-43.7762,-10.6474,1.53919,0.166507,0
Phase Shift,WOOD,bow,wood,-0.49,-21.0044,-13.0622,-19.552,-170.947,515.211,-0.0816161,-29.2044,5.31216,-0.149315,0
Porch Stomp,WOOD,strike,wood,2.83,-21.0096,-8.00244,-10.8769,-239.77,795.8,-81.5557,-20.4138,9.4128,0.100704,0
Kora Bridge,WOOD,pluck,wood,3.61,-20.9989,-6.30917,-4.33572,-232.495,359.029,-61.4382,-12.2906,2.53493,0.24577,0
Sawmill,WOOD,bow,wood,-3.19,-20.9984,-13.1475,-18.7869,-168.133,805.296,-0.0932802,-26.3068,1.93148,-0.0240681,0
Harpsichord Quill,WOOD,pluck,wood,4.08,-27.803,-9.65029,-3.00103,-239.972,585.278,-124.974,-15.7054,8.50801,0.128477,0
Balsa Plucks,WOOD,pluck,wood,5.58,-21.0012,-5.59446,-5.53964,-239.95,245.925,-130.017,-25.3948,2.33189,2.17735,0
Creaking Oak,WOOD,bow,wood,8.08,-21,-12.8912,-20.3951,-165.33,613.441,-0.249457,-30.4331,2.06818,-0.00775281,0
Tonewood,WOOD,air,wood,-0.64,-21.004,-13.1918,-20.9997,-165.15,1584.86,-0.126458,-29.0621,2.55475,0.351006,0
Rainstick,WOOD,air,wood,18,-21.5966,-7.77808,-6.45563,-155.576,5151.25,-0.279845,-4.83693,2.01405,-12.3606,0
Membrane Sky,MEMBRANE,strike,membrane,-0.58,-20.9982,-8.43431,-10.4827,-205.312,238.937,-34.0729,-9.7183,1.90006,1.1754,0
Deep Frame,MEMBRANE,strike,membrane,0.58,-20.9995,-6.43439,-9.53194,-238.342,211.178,-65.1145,-13.2969,8.83532,0.452374,0
Ghost Membrane,MEMBRANE,air,membrane,1.52,-20.9988,-12.6588,-19.7606,-136.344,1436.56,0,-25.848,1.95988,4.24332,0
Talking Skin,MEMBRANE,strike,membrane,0.96,-21.5595,-7.42394,-2.99901,-239.572,227.545,-75.6937,-11.9506,11.6657,0.679088,0
Timpani,MEMBRANE,strike,membrane,-2.22,-21.0027,-7.23797,-10.621,-187.28,217.475,-27.8065,-11.9493,2.07942,1.36219,0
Tabla Dayan,MEMBRANE,strike,membrane,0.06,-20.9966,-7.33575,-3.30511,-218.932,376.037,-37.8585,-11.2593,3.08557,1.37037,0
Tabla Bayan,MEMBRANE,strike,membrane,-1.06,-20.9994,-8.28694,-4.98953,-225.694,233.969,-48.4369,-11.0614,1.68781,1.29786,0
Conga Slap,MEMBRANE,strike,membrane,0.77,-23.621,-7.36554,-3.00095,-239.908,265.474,-88.0116,-9.37972,11.7433,0.475914,0
Bodhran,MEMBRANE,strike,membrane,0.9,-21.0006,-6.41285,-6.57925,-234.165,222.956,-55.6607,-10.4359,3.07014,0.673396,0
Djembe,MEMBRANE,strike,membrane,0.41,-22.6129,-8.58066,-3.00126,-225.926,262.076,-49.0779,-8.86542,3.001,1.39984,0
Membrane Bass,MEMBRANE,pluck,membrane,6.59,-21.006,-8.91831,-3.76934,-239.976,1647.72,-136.774,-19.7048,4.88058,0.461077,0
Ocean Drum,MEMBRANE,air,membrane,17.15,-21.0003,-9.87054,-4.7489,-128.32,2518.73,-1.8967,-7.70672,2.00661,-0.393015,0
Marching Quads,MEMBRANE,strike,membrane,2.07,-21.0048,-7.27092,-3.13185,-234.03,314.369,-56.0535,-13.9523,2.39109,0.387388,0
Skin Harp,MEMBRANE,pluck,membrane,1.93,-20.9996,-5.20807,-6.70039,-234.578,281.772,-58.4742,-11.9061,3.00259,1.91432,0
Taiko Hall,MEMBRANE,strike,membrane,-1.8,-20.9972,-10.1311,-9.48607,-193.193,336.119,-32.2213,-10.1212,2.27385,0.882829,0
