name,category,exciter,material,patch_level_db,loudness_db,peak_db,hard_note_peak_db,tail_db,centroid_hz,sustain_db,width_db,modulation_db,pitch_cents,note_vs_strongest_db
Obsidian Bloom,PADS,bow,metal,0.31,-21.0035,-12.0028,-19.9962,-51.3354,674.626,-0.0587285,-14.9548,5.30533,-0.096261,0
Soft Machine,PADS,air,wood,0.81,-21.0023,-13.0512,-20.9703,-122.028,1502.11,0,-30.7575,2.16495,0.427541,0
Aurora Lattice,PADS,air,glass,3.68,-20.9983,-13.2869,-21.8992,-48.6437,5011.38,0,-25.2668,2.04651,0.0937564,0
Quiet Orbit,PADS,bow,membrane,1.88,-20.9998,-13.2506,-20.7518,-110.366,256.829,-0.0658859,-28.9438,5.59301,0.531193,0
Silver Hour,PADS,bow,glass,0.89,-20.9989,-12.927,-20.7366,-55.7292,516.586,-0.025607,-28.2812,5.52706,-0.0386205,0
Velvet Engine,PADS,air,wood,0.64,-21.0022,-13.0118,-21.8605,-90.9655,1199.02,0,-30.9922,2.33242,0.408214,0
Polar Choir,PADS,air,glass,1.37,-21.0032,-12.5001,-26.4228,-42.8498,4835.44,0,-25.1259,2.20611,0.00620709,0
Nocturne Field,PADS,bow,membrane,2.6,-20.9976,-13.1868,-20.9551,-88.5408,234.049,-0.13631,-29.7878,5.37475,0.49052,0
Halo Drift,PADS,bow,metal,0.99,-21.0044,-12.1373,-19.7523,-49.7983,837.061,-0.195389,-22.2417,4.5077,-0.00410848,0
Lumen,PADS,air,glass,-1.07,-21.0042,-13.0015,-24.0409,-38.5178,4777.92,0,-29.392,2.80121,0.189348,0
Cloud Loom,PADS,bow,wood,1.39,-20.9963,-13.3043,-20.5127,-117.295,475.183,-0.116852,-30.7263,5.17035,-0.0112087,0
Slow Tide,PADS,air,membrane,0.95,-21.0022,-12.6935,-20.689,-72.1041,1231.84,0,-24.728,2.11019,3.35994,0
Amber Hall,PADS,bow,wood,0.71,-20.9993,-12.8389,-20.1611,-102.434,442.001,-0.0228442,-23.9675,4.742,-0.00880764,0
Opaline,PADS,air,glass,1.22,-21.0005,-12.3345,-22.0833,-37.0397,3168.64,0,-28.1413,2.56222,0.037239,0
Northern Lights,PADS,bow,glass,0.98,-20.9994,-11.9334,-19.5826,-60.1985,644.335,-0.0801278,-22.9567,5.63376,-0.0125584,0
Paper Moon,PADS,air,membrane,13.21,-20.9965,-9.68301,-8.93293,-90.775,2785.08,0,-11.914,1.83912,0.165923,0
Iron Lung,PADS,air,metal,0.94,-21.0044,-12.1909,-23.2992,-29.7168,3563.27,0,-25.4854,2.7614,0.136639,0
Deep Current,PADS,bow,metal,2.42,-21.0027,-12.3974,-20.2264,-48.6359,685.336,-0.0727873,-22.6927,3.97074,-0.0216796,0
Glasshouse,PADS,bow,glass,0.3,-21.0047,-13.044,-20.3241,-63.9981,597.338,-0.220559,-24.4566,5.43825,-0.00970764,0
Cinder Veil,PADS,air,wood,-0.77,-21.0024,-13.3415,-21.1445,-92.4971,1096.86,-0.207746,-31.1285,2.32241,0.31564,0
Satin Web,PADS,bow,membrane,1.72,-20.9984,-13.0704,-20.8061,-88.2956,274.976,-0.0300123,-28.618,5.74548,0.631724,0
Morning Frost,PADS,air,glass,1.2,-20.9989,-12.6056,-22.404,-44.5766,6457.13,0,-23.2313,2.46345,0.225577,0
Solace,PADS,bow,wood,0.6,-20.9956,-12.4198,-19.7695,-115.294,413.236,-0.039203,-25.9442,5.23341,-0.007363,0
Monsoon,PADS,air,membrane,0.79,-20.9966,-12.853,-18.0817,-86.0201,1717.63,0,-21.5833,2.23492,3.71769,0
Starlit Canopy,PADS,bow,glass,0.48,-21.0002,-11.5358,-19.0532,-59.6527,579.746,-0.204995,-19.7829,5.54026,0.00177449,0
Quartz Choir,PADS,air,glass,-0.97,-20.9982,-12.8255,-21.0919,-36.3012,3264.44,0,-23.0245,2.84603,0.164783,0
Ember Choir,PADS,air,wood,-0.1,-20.9986,-13.2634,-21.7184,-90.5436,1477.14,0,-30.3159,2.21706,0.410087,0
Levitation,PADS,bow,metal,0.89,-20.9967,-11.9852,-19.3067,-52.0485,872.426,-0.0709051,-22.5273,4.85865,0.026456,0
Hologram,PADS,bow,glass,0.21,-21.0008,-13.0161,-20.6246,-63.403,606.696,-0.00961477,-30.8901,5.55361,0.0382277,0
Snowfield,PADS,air,membrane,8.48,-20.9985,-11.9875,-13.7996,-71.1293,1242.92,0,-15.2042,1.92567,0.837518,0
Undertow,PADS,bow,metal,1.66,-21.0014,-12.5824,-20.1373,-51.3204,745.181,-0.235263,-25.6639,3.86428,-0.0561126,0
Solar Wind,PADS,air,metal,0.2,-21.0008,-12.6508,-21.2834,-32.4242,5770.9,0,-20.4265,2.81807,0.255186,0
Moss Garden,PADS,bow,wood,2.02,-20.997,-13.2029,-20.7283,-113.387,323.026,-0.188269,-31.533,4.80932,-0.0245128,0
Violet Hour,PADS,bow,membrane,1.13,-20.9986,-13.16,-20.8689,-95.4735,308.498,-0.170519,-29.088,5.55404,0.506548,0
Sea Glass,PADS,air,glass,2.13,-20.9974,-12.8651,-21.3263,-39.3785,2867.54,0,-24.1498,2.34742,0.155868,0
Distant Engine,PADS,bow,metal,0.69,-21.0025,-12.5216,-18.2813,-52.7079,802.656,-0.145474,-21.5442,3.8925,-0.01776,0
Satellite String,PLUCKED,pluck,metal,3.66,-20.9977,-7.47104,-8.10444,-69.8775,1070.7,-10.0326,-6.88777,1.90031,0.536251,0
Crystal Thread,PLUCKED,pluck,glass,4.07,-20.9986,-6.87156,-6.46673,-108.01,3660.09,-18.1785,-13.6448,0.715085,0.426288,0
Wire Garden,PLUCKED,pluck,metal,2.56,-20.9977,-9.09225,-10.2868,-69.2967,948.163,-8.96224,-9.20621,2.23271,1.01183,0
Mercury String,PLUCKED,pluck,metal,6.92,-21.0045,-9.77814,-3.6132,-66.8524,1123.48,-8.40326,-9.38225,2.87458,0.581838,0
Steel Tine Harp,PLUCKED,pluck,metal,3.1,-20.9997,-6.50687,-6.97858,-72.3405,1375.96,-10.6032,-6.74039,1.10575,1.0176,0
Nylon Dusk,PLUCKED,pluck,wood,2.67,-20.9998,-5.82748,-9.75256,-239.351,256.314,-76.8911,-24.0224,11.065,0.158022,0
Koto Mist,PLUCKED,pluck,metal,4.72,-21.0017,-8.19058,-6.72305,-57.1789,1194.3,-9.58875,-9.26762,1.09494,0.574335,0
Sitar Sympathy,PLUCKED,pluck,metal,2.54,-20.9982,-5.98818,-4.99626,-56.7658,2191.48,-10.0172,-9.65022,1.04959,0.81776,-6.40698
Banjo Skin,PLUCKED,pluck,membrane,2.97,-27.7431,-9.59156,-2.99505,-239.981,427.591,-129.724,-12.5456,5.80487,0.435255,0
Oud Night,PLUCKED,pluck,wood,2.81,-21.004,-5.83875,-9.59273,-236.622,257.867,-63.4001,-20.6192,6.86781,0.137411,0
Pizzicato Glass,PLUCKED,pluck,glass,9.36,-21.5549,-5.5163,-3.00277,-239.797,601.364,-80.1314,-14.4429,10.3858,0.0653921,0
Dulcimer Rain,PLUCKED,pluck,metal,3.54,-20.9995,-7.84109,-6.55794,-56.238,2000.89,-7.25028,-5.54363,2.99864,1.48002,0
Muted Bass,PLUCKED,pluck,wood,8.75,-21.3705,-9.30343,-3.00457,-239.985,242.957,-140.217,-18.2307,3.9283,0.135784,0
Silver Autoharp,PLUCKED,pluck,metal,3.31,-21.0002,-7.76105,-7.80733,-59.89,1232.89,-8.263,-7.0553,1.0711,0.816774,0
Twelve Strings,PLUCKED,pluck,metal,3.36,-20.9962,-5.89991,-6.66475,-72.5398,1345.61,-10.58,-6.62653,1.21946,0.950841,0
Guzheng Bend,PLUCKED,pluck,metal,8.47,-21.5609,-8.17416,-2.99873,-67.1946,1623.42,-9.15105,-9.50399,2.51953,0.750099,0
Lute Garden,PLUCKED,pluck,wood,2.88,-21.004,-6.56947,-8.54052,-239.845,223.337,-88.6856,-19.3045,10.6547,0.226997,0
Crystal Koto,PLUCKED,pluck,glass,3.16,-20.9966,-7.09531,-5.59478,-90.8669,4840.69,-15.7637,-11.0019,0.640134,0.458207,-5.82898
Shamisen Snap,PLUCKED,pluck,membrane,2.65,-32.997,-15.4482,-3.11103,-239.991,1042.65,-129.665,-12.8109,4.28748,0.304489,0
Harp of Wires,PLUCKED,pluck,metal,2.6,-20.9967,-8.56868,-9.25724,-41.6119,1514.71,-5.09428,-6.07524,0.744399,0.422476,0
Pendulum Harp,PLUCKED,pluck,glass,3.59,-21.0013,-6.27715,-5.55148,-97.3447,3601.74,-15.7081,-9.00556,1.05626,0.452193,-0.282666
Resonant Arp,PLUCKED,pluck,metal,4.23,-21.0023,-6.7784,-5.81985,-62.7019,2073.74,-8.67901,-6.34959,2.05237,0.580689,0
Clav Circuit,PLUCKED,pluck,wood,5.4,-29.1685,-9.6296,-3.21685,-239.992,1229.59,-135.629,-12.0565,4.07245,0.22478,0
Hollow Pluck,PLUCKED,pluck,metal,0.67,-21.0004,-9.62675,-10.1811,-70.8809,922.148,-9.13403,-13.0284,1.5415,1.57686,0
Gossamer,PLUCKED,pluck,glass,2.94,-20.9995,-8.99065,-11.1107,-74.1241,2040.6,-9.64365,-13.8156,0.916344,0.613944,0
Bass Harp,PLUCKED,pluck,metal,1.85,-21.0014,-9.53217,-11.2547,-56.9762,779.702,-6.60037,-11.1952,1.66518,0.882418,0
Chime Strings,PLUCKED,pluck,metal,2.34,-20.996,-6.44278,-7.17254,-58.9016,2011.02,-8.41858,-7.85652,0.851974,1.10794,-2.29512
Desert Lute,PLUCKED,pluck,wood,6.51,-22.4742,-3.19288,-3.00056,-239.983,313.133,-136.686,-20.1012,3.75488,0.568663,0
Neon Pluck,PLUCKED,pluck,metal,4.35,-21.0085,-7.57944,-6.07051,-159.35,1149.09,-21.5518,-8.16681,3.43907,0.468269,-3.254
Kinetic Harp,PLUCKED,pluck,glass,3.78,-20.997,-6.9861,-4.87045,-92.5093,3139.21,-14.0832,-9.84614,1.8924,0.541039,0
Fretless Bass,PLUCKED,pluck,wood,6.31,-20.9993,-10.1545,-4.5223,-239.914,283.433,-87.5888,-30.3692,12.3208,0.134963,0
Ghost Strings,PLUCKED,pluck,membrane,-1.03,-20.9969,-8.66774,-12.5539,-219.878,240.573,-44.7964,-15.2122,3.97607,2.72415,0
Mandolin Bright,PLUCKED,pluck,metal,5.39,-20.9972,-6.88803,-4.15298,-140.48,1081.57,-19.4614,-7.15399,2.53099,0.559242,-1.29497
Prepared String,PLUCKED,pluck,metal,2.99,-20.9985,-7.46977,-8.69779,-71.6867,762.488,-10.4884,-7.94417,2.29164,0.815082,0
Rubber Band,PLUCKED,pluck,membrane,1.98,-20.9965,-4.91722,-5.58992,-239.96,237.769,-96.3268,-16.9188,7.65968,1.2167,0
Pluck Constellation,PLUCKED,pluck,glass,2.9,-20.9961,-7.01778,-6.28758,-88.4831,4290.19,-14.2487,-8.83252,0.471164,0.556001,-1.84363
Black Bell,STRUCK,strike,metal,1.41,-21.0005,-8.82211,-12.5867,-46.4549,406.96,-5.00609,-6.23258,1.61535,0.130542,0
Zero Gravity Bell,STRUCK,strike,glass,1.1,-20.9968,-7.48337,-10.3431,-66.1188,1551.13,-10.1562,-3.6246,1.09488,0.271356,0
Cold Plate,STRUCK,strike,metal,-4.93,-24.1512,-9.71534,-2.99511,-60.9676,1776.34,-9.20683,-4.26778,0.705383,1.3297,0
Temple Lattice,STRUCK,strike,metal,0.12,-21.0016,-7.1017,-10.8538,-57.9114,765.134,-6.80572,-7.1827,1.37901,0.618843,0
Tine Piano,STRUCK,strike,metal,3.06,-20.995,-10.3833,-11.7194,-73.8397,540.695,-7.15325,-11.8752,1.86528,0.552143,0
Carillon,STRUCK,strike,metal,0.06,-21.0008,-8.04872,-5.90403,-50.1303,1149.45,-6.43729,-6.46109,1.17108,0.373962,0
Motor Vibes,STRUCK,strike,metal,2.58,-21.0002,-9.33011,-11.3955,-61.1013,702.191,-6.29635,-8.08252,1.52398,0.586118,0
Celesta Box,STRUCK,strike,metal,0.8,-20.9954,-8.58361,-5.51729,-84.8146,1011.46,-10.8702,-9.78006,1.15557,0.859681,0
Glass Glockenspiel,STRUCK,strike,glass,2.94,-20.9971,-7.39419,-4.74683,-82.5215,2558.75,-11.7821,-6.70268,0.555933,0.288423,0
Tubular Hall,STRUCK,strike,metal,-1.08,-21.0004,-6.60333,-5.78027,-51.1604,1197.64,-5.94931,-3.37614,0.830874,0.866433,0
Singing Bowl,STRUCK,strike,metal,1.29,-21.0023,-7.83444,-12.5103,-38.0556,389.506,-3.26381,-7.02374,0.76627,0.533052,0
Handpan Circle,STRUCK,strike,metal,3.51,-21.0018,-10.0277,-11.8622,-53.9239,512.865,-5.81969,-9.11703,1.43074,0.354204,0
Steel Pan Sun,STRUCK,strike,metal,0.52,-21.005,-7.50949,-7.52063,-65.26,991.445,-8.34314,-8.38165,1.19199,0.751007,0
Gong Bloom,STRUCK,strike,metal,3.97,-21.0031,-7.5052,-12.6804,-38.8581,283.773,-2.7775,-4.5633,1.06554,-1.25559,0
Tam-Tam Wash,STRUCK,strike,metal,-0.84,-20.9999,-7.63164,-4.50824,-44.131,1746.31,-4.93311,-3.47582,1.95349,-2.15138,0
Glass Piano,STRUCK,strike,glass,3.16,-21.0019,-10.1288,-10.0279,-178.424,758.808,-12.5322,-10.8803,0.52315,0.202341,0
Crotale Sparks,STRUCK,strike,metal,-2.46,-21.0028,-6.63858,-3.18499,-52.9584,2264.42,-8.19831,-4.8297,0.712635,0.856379,0
Hammered Dulcimer,STRUCK,strike,metal,-0.97,-20.9997,-5.24371,-3.01996,-70.6766,1311.27,-9.93708,-6.11386,1.08808,0.804172,0
Music Box Dream,STRUCK,strike,metal,-0.95,-23.242,-9.04238,-3.00041,-75.5556,1447.15,-10.5483,-10.9652,1.32528,0.900471,0
Temple Gong,STRUCK,strike,metal,2.13,-20.9979,-8.91357,-12.96,-43.7545,298.538,-4.04189,-6.93968,1.64215,0.319828,0
Crystal Bowl,STRUCK,strike,glass,1.75,-21.0042,-8.62603,-14.4578,-41.7651,441.297,-4.62842,-6.10327,0.53561,0.22954,0
Wind Bell,STRUCK,strike,metal,0.06,-20.9968,-6.98764,-6.01791,-50.9168,1360.34,-6.15812,-4.90922,1.22945,0.434228,0
Soft Mallet Keys,STRUCK,strike,wood,0.98,-20.9956,-8.62841,-11.5865,-232.794,220.402,-52.641,-19.216,1.43774,0.0936298,0
Bell Tree,STRUCK,strike,metal,-2.48,-20.9984,-7.06644,-4.81282,-61.1548,1510.52,-8.25289,-3.84693,0.71155,0.968961,0
Chime Garden,STRUCK,strike,metal,-0.25,-20.999,-7.57205,-3.31569,-50.11,2368.2,-6.45491,-6.17767,2.10295,0.193283,0
Frozen Bell,STRUCK,strike,glass,-0.06,-21.0019,-8.54375,-10.7829,-35.4776,990.429,-3.35224,-2.96543,0.58916,0.262169,0
Dark Carillon,STRUCK,strike,metal,1.93,-20.9985,-8.87701,-11.1138,-46.2688,407.936,-5.462,-6.25005,1.77474,0.242439,0
Harmonic Gong,STRUCK,strike,metal,0.94,-20.9992,-9.48854,-12.3228,-47.0941,467.567,-4.51798,-5.46032,1.00747,0.538248,0
Felt Piano,STRUCK,strike,metal,3.14,-20.9965,-10.7678,-14.6744,-154.283,307.502,-7.33177,-14.5071,2.08825,0.449687,0
Toy Piano,STRUCK,strike,metal,-3.42,-22.2508,-9.20665,-2.99648,-94.4264,1507.25,-11.9555,-5.23591,0.904842,0.977752,0
Clockwork Bell,STRUCK,strike,metal,0.28,-20.9991,-7.1057,-4.15582,-48.2812,1974.2,-5.66583,-5.07794,2.52863,0.550176,0
Bronze Age,STRUCK,strike,metal,1.58,-20.9984,-8.224,-10.6037,-49.0626,627.217,-4.95709,-5.78179,1.67407,0.128751,0
Cloud Bell,STRUCK,strike,glass,1.78,-21.0013,-7.84574,-12.015,-61.8723,693.657,-7.67668,-4.01497,0.768178,0.2365,0
Tuned Pipes,STRUCK,strike,metal,1.67,-20.995,-8.94294,-4.16603,-59.1482,1142.88,-7.51877,-9.42222,0.961978,0.641407,0
Bonang Row,STRUCK,strike,metal,0.88,-20.9956,-8.07709,-5.85897,-54.6399,1110.22,-6.35386,-5.41334,1.31221,0.0366434,0
Pulse Bell,STRUCK,strike,metal,0.24,-21.0049,-7.11166,-5.86739,-48.7431,1528.14,-5.91325,-4.55903,1.23601,0.19835,0
Frozen Wire,BOWED,bow,metal,-2.32,-20.9962,-12.104,-17.5174,-62.2657,1178.1,-0.112736,-26.8905,2.69449,0.000431062,0
Tension Bloom,BOWED,bow,wood,0.35,-20.9978,-12.8772,-20.2745,-171.887,584.195,-0.103616,-29.3452,4.44746,0.0199994,0
Rosin Glass,BOWED,bow,glass,0.32,-20.9985,-13.1278,-20.9187,-70.1173,473.122,-0.0898475,-33.1741,5.29384,-0.0228575,0
Bowed Timber,BOWED,bow,wood,-1.57,-21,-13.2004,-20.3623,-174.623,522.213,-0.167198,-37.435,4.0499,0.0020434,0
Cello Nocturne,BOWED,bow,wood,-0.55,-20.9961,-12.5074,-19.2648,-172.935,464.173,0,-21.9586,3.99596,0.0207266,0
Sul Tasto Viola,BOWED,bow,wood,0.97,-21.0026,-13.2201,-20.6274,-175.097,322.847,-0.168754,-34.6205,5.52649,0.0190264,0
Arco Bass,BOWED,bow,wood,4.64,-20.9979,-17.6128,-15.7459,-173.556,677.53,-0.0116719,-40.115,2.54382,-0.00156281,0
Bowed Cymbal,BOWED,bow,metal,-2.74,-20.9995,-11.6802,-18.1492,-63.6723,1225.74,-0.120784,-22.7894,2.45048,0.00334057,0
Musical Saw,BOWED,bow,metal,4.03,-21.0048,-16.1381,-15.2524,-69.0016,1239.75,-0.0158163,-22.2892,4.16276,-0.0146681,0
Armonica,BOWED,bow,glass,1.37,-20.9999,-11.7137,-19.4588,-66.0218,399.034,-0.110182,-19.9221,5.85664,-0.00609305,0
Erhu Glide,BOWED,bow,membrane,2.63,-21.0037,-17.6621,-15.6628,-172.894,637.81,-0.00363374,-35.587,3.77447,0.413941,0
String Ensemble,BOWED,bow,wood,0.62,-21.0032,-12.6565,-20.5232,-166.56,358.063,-0.111287,-23.836,4.96869,0.000472437,0
Bowed Gong,BOWED,bow,metal,2,-20.9982,-11.9575,-19.7267,-56.0464,842.164,-0.219134,-19.8296,2.90737,-0.000493483,0
Tremolo Strings,BOWED,bow,wood,-0.58,-21.0048,-13.2104,-20.4931,-171.028,509.073,-0.0387767,-32.4719,4.30182,0.000992613,0
Ice Bow,BOWED,bow,glass,-2.69,-21.0027,-12.9124,-20.6601,-76.0659,692.205,-0.122363,-30.2734,5.52703,-0.0328617,0
Bowed Vibes,BOWED,bow,metal,0.7,-20.9977,-11.8755,-19.4742,-59.7898,750.573,-0.0469631,-26.4933,4.76464,-0.0123811,0
Nyckelharpa,BOWED,bow,wood,-1.23,-20.9959,-11.5877,-18.8131,-170.949,572.482,-0.0807645,-22.3367,3.65982,0.00444149,0
Hurdy Wheel,BOWED,bow,wood,-2.62,-20.9995,-12.0574,-18.8768,-170.549,630.091,-0.0232346,-25.1719,3.20642,0.000622449,0
Silk Bow,BOWED,bow,membrane,1.1,-21.005,-13.2899,-20.8266,-162.485,255.337,-0.153794,-31.0314,5.97284,0.945856,0
Rusty Hinge,BOWED,bow,metal,4.43,-21.0019,-11.3026,-18.7853,-73.5393,1253.18,-0.177425,-15.601,1.81318,0.00337686,0
Growl Skin,BOWED,bow,membrane,5.13,-20.9983,-17.81,-16.0098,-175.13,389.431,-0.00897425,-33.5363,2.3934,0.129041,0
Flageolet,BOWED,bow,wood,-1.94,-21.0018,-12.9387,-19.9267,-171.364,526.73,-0.0140511,-31.0759,5.55911,0.0178214,0
Choir of Glasses,BOWED,bow,glass,0.19,-21.0008,-12.8025,-19.9786,-69.6767,494.989,0,-23.7149,5.38865,-0.00839809,0
Quartet Web,BOWED,bow,wood,-0.54,-20.9983,-12.2859,-19.6117,-170.887,521.452,-0.0484237,-25.0932,4.26893,0.00061421,0
Sul Ponticello,BOWED,bow,wood,-3.08,-21.0044,-12.7025,-19.7138,-171.499,845.316,-0.0414798,-28.7169,2.92781,0.0043078,0
Bowed Crotales,BOWED,bow,metal,-1.19,-20.9951,-11.9978,-19.4336,-60.3303,928.662,-0.0125601,-24.328,5.04508,0.00634811,0
Legato Lead,BOWED,bow,wood,0.31,-21.0015,-15.8655,-14.1059,-172.481,1134.77,0,-19.0253,1.84536,-0.256096,0
Arco Shimmer,BOWED,bow,glass,-0.26,-20.9956,-13.0354,-20.6507,-74.3853,605.074,0,-25.7958,5.22756,-0.118339,0
Rubbed Skin,BOWED,bow,membrane,2.8,-21.0046,-13.1349,-20.6672,-172.822,377.289,-0.0498646,-32.3347,3.2128,0.0664598,0
Steel Cello,BOWED,bow,metal,0.37,-21.0048,-11.0435,-18.4807,-65.3455,975.786,-0.0971428,-13.6457,3.27906,0.00738606,0
Cantabile,BOWED,bow,wood,3.43,-20.9972,-17.6799,-15.7239,-170,782.977,-0.00202292,-34.1777,3.13846,0.00475073,0
Bow and Chain,BOWED,bow,metal,0.5,-21.0004,-12.0975,-19.4505,-59.2083,936.016,-0.109653,-21.9298,3.42015,-0.00101821,0
Spectral Bow,BOWED,bow,glass,-0.62,-20.9966,-11.4835,-19.1672,-70.878,536.915,-0.0901103,-20.8983,5.37556,-0.000177866,0
Bariolage,BOWED,bow,wood,-1.74,-21.0009,-12.1356,-18.7306,-170.248,594.613,-0.0197786,-26.3698,3.88354,-0.0497642,0
Glass Choir,AIR,air,glass,-0.27,-20.9999,-13.0154,-21.8763,-52.4314,3335.45,0,-26.5354,2.83902,0.194668,0
Resonant Fog,AIR,air,membrane,1.89,-21.0007,-12.6228,-19.0106,-105.886,1199.98,0,-22.4452,2.14386,3.80507,0
Bottle Organ,AIR,air,wood,-1.57,-21.0003,-13.1613,-22.026,-178.447,1525.52,0,-35.5852,2.55441,0.236543,0
Reed Array,AIR,air,metal,-1.94,-21.0004,-13.2764,-22.9031,-47.9344,3201.6,0,-28.0894,2.8061,0.136535,0
Shakuhachi Dusk,AIR,air,wood,5.66,-20.9998,-17.5663,-15.7028,-171.3,2449.64,-0.449152,-31.4866,2.00758,0.344937,0
Pan Pipes,AIR,air,wood,0.27,-21.0036,-12.9802,-20.6768,-172.432,2406.38,-0.200273,-28.5145,2.35743,0.363366,0
Glass Flute,AIR,air,glass,-2.39,-20.9979,-13.1172,-22.8191,-48.4767,3438.13,0,-30.8181,3.04089,0.138208,0
Principal Chorus,AIR,air,wood,-1.55,-20.9972,-13.1678,-21.861,-168.318,764.326,-0.0661457,-26.1415,3.16812,0.193202,0
Melodica Street,AIR,air,metal,-1.46,-20.9977,-13.1177,-22.7007,-46.4939,3274.72,0,-36.264,3.03049,0.132811,0
Harmonium Celeste,AIR,air,metal,-0.59,-21.0012,-12.8438,-23.95,-43.4877,2749.35,0,-31.1233,2.78499,0.171491,0
Accordion Musette,AIR,air,metal,-1.74,-20.9971,-13.0711,-22.5006,-46.4918,4009.4,0,-33.6799,2.83784,0.143094,0
Clay Ocarina,AIR,air,membrane,-1.22,-20.9992,-13.1528,-22.2457,-112.445,340.285,0,-30.6829,2.48586,3.11966,0
Whistle Wind,AIR,air,glass,2.14,-20.9994,-12.4647,-18.8677,-59.3992,7358.19,0,-18.6595,2.26463,0.197145,0
Didgeridoo Drone,AIR,air,wood,1.74,-21.0023,-17.812,-16.8567,-167.057,1046.93,0,-34.5434,3.09818,0.103781,0
Sheng Cluster,AIR,air,metal,-1.79,-21.0013,-13.2243,-23.381,-43.3418,3299.01,0,-28.2866,3.0655,0.156686,0
Breath of Glass,AIR,air,glass,14.31,-21.0029,-10.3475,-9.36362,-52.9817,5130.88,-0.596784,-10.1362,1.84723,-0.0436847,0
Blown Bottles,AIR,air,glass,-0.52,-20.9969,-13.1409,-21.5617,-44.8426,1288.63,0,-25.7824,2.70243,0.138135,0
Kettle Whistle,AIR,air,metal,2.09,-20.9992,-17.2495,-17.7455,-41.1306,6006.94,0,-24.9677,3.11201,0.074716,0
Flute Choir,AIR,air,wood,-0.44,-21.0032,-13.1484,-21.1886,-166.987,1883.86,-0.128036,-28.1855,2.57708,0.361846,0
Bansuri Glide,AIR,air,wood,4.91,-20.9992,-17.6487,-16.4907,-166.724,3091.47,-0.158749,-30.1866,2.16669,0.37894,0
Brass Breath,AIR,air,metal,-3.27,-20.9983,-13.6622,-22.6726,-45.1183,2758.94,0,-33.228,3.43008,0.102553,0
Conch Call,AIR,air,membrane,2.95,-21.0001,-17.6529,-16.7023,-147.336,575.841,-0.0753262,-26.5568,3.03252,1.43598,0
Hollow Reed,AIR,air,wood,-2.29,-21.0026,-13.2337,-21.9775,-171.507,891.711,-0.146121,-34.7498,3.05863,0.236896,0
Wind Harp,AIR,air,wood,11.68,-21.0005,-12.6898,-12.1543,-109.653,5414.11,0,-18.778,1.73416,1.11555,0
