test,key,value
network/cpu,coreFractionPerVoice_drifting@96k,0.00632941
performance/engine cpu by voices, exciter and sample rate,44k.strike.1v.percentOfCore,0.775723
performance/engine cpu by voices, exciter and sample rate,44k.strike.4v.percentOfCore,3.56503
performance/engine cpu by voices, exciter and sample rate,44k.strike.8v.percentOfCore,4.76522
performance/engine cpu by voices, exciter and sample rate,44k.strike.16v.percentOfCore,9.44323
performance/engine cpu by voices, exciter and sample rate,44k.bow.1v.percentOfCore,0.789392
performance/engine cpu by voices, exciter and sample rate,44k.bow.4v.percentOfCore,2.76729
performance/engine cpu by voices, exciter and sample rate,44k.bow.8v.percentOfCore,6.17874
performance/engine cpu by voices, exciter and sample rate,44k.bow.16v.percentOfCore,10.7669
performance/engine cpu by voices, exciter and sample rate,48k.strike.1v.percentOfCore,0.805489
performance/engine cpu by voices, exciter and sample rate,48k.strike.4v.percentOfCore,2.83905
performance/engine cpu by voices, exciter and sample rate,48k.strike.8v.percentOfCore,5.43228
performance/engine cpu by voices, exciter and sample rate,48k.strike.16v.percentOfCore,10.6261
performance/engine cpu by voices, exciter and sample rate,48k.bow.1v.percentOfCore,0.927358
performance/engine cpu by voices, exciter and sample rate,48k.bow.4v.percentOfCore,3.16953
performance/engine cpu by voices, exciter and sample rate,48k.bow.8v.percentOfCore,6.18638
performance/engine cpu by voices, exciter and sample rate,48k.bow.16v.percentOfCore,12.3017
performance/engine cpu by voices, exciter and sample rate,96k.strike.1v.percentOfCore,1.24982
performance/engine cpu by voices, exciter and sample rate,96k.strike.4v.percentOfCore,4.0985
performance/engine cpu by voices, exciter and sample rate,96k.strike.8v.percentOfCore,8.03969
performance/engine cpu by voices, exciter and sample rate,96k.strike.16v.percentOfCore,16.4815
performance/engine cpu by voices, exciter and sample rate,96k.bow.1v.percentOfCore,1.27519
performance/engine cpu by voices, exciter and sample rate,96k.bow.4v.percentOfCore,4.73352
performance/engine cpu by voices, exciter and sample rate,96k.bow.8v.percentOfCore,8.6093
performance/engine cpu by voices, exciter and sample rate,96k.bow.16v.percentOfCore,19.9824
performance/engine cpu by voices, exciter and sample rate,48k.strike.8v.coupling0.00.chaos0.0.motion0.0.percentOfCore,4.79797
performance/engine cpu by voices, exciter and sample rate,48k.strike.8v.coupling1.00.chaos0.0.motion0.0.percentOfCore,4.85175
performance/engine cpu by voices, exciter and sample rate,48k.strike.8v.coupling0.35.chaos1.0.motion0.0.percentOfCore,5.94225
performance/engine cpu by voices, exciter and sample rate,48k.strike.8v.coupling0.35.chaos0.1.motion1.0.percentOfCore,6.28938
