time_s,core,A,B,C,D
1.02033,1.74857e-07,4.44161e-08,4.20863e-07,2.14712e-09,2.24847e-07
1.03033,3.95759e-07,8.66792e-08,9.20206e-08,1.51634e-08,3.74318e-08
1.04033,2.00537e-06,1.5254e-07,4.44368e-08,1.5089e-07,1.2784e-06
1.05033,4.65244e-07,2.59157e-08,3.38591e-08,2.65022e-07,7.14399e-08
1.06033,2.09338e-07,1.73938e-07,6.95372e-09,1.32656e-07,1.16092e-07
1.07033,1.10082e-08,5.00063e-07,5.51628e-07,5.60467e-07,1.08304e-07
1.08033,9.13603e-07,3.82088e-08,1.61371e-07,4.17503e-07,3.5575e-08
1.09033,9.99318e-07,3.47391e-08,2.97425e-06,1.57309e-08,1.80361e-07
1.10033,3.04204e-08,1.56862e-07,1.23035e-07,4.62615e-08,2.88304e-07
1.11033,3.61271e-07,3.85507e-08,6.9947e-08,9.29887e-08,4.35353e-08
1.12033,1.21201e-07,6.85745e-08,3.02967e-07,1.27437e-07,1.57428e-06
1.13033,6.97864e-07,1.95722e-08,2.93969e-08,4.81253e-09,2.25007e-08
1.14033,3.51503e-07,4.86785e-09,2.51753e-07,2.14013e-07,2.26545e-07
1.15033,1.92825e-07,8.44877e-09,1.59257e-09,1.34392e-07,1.94009e-07
1.16033,9.76104e-07,5.17632e-08,8.21108e-08,2.02185e-07,3.81268e-09
1.17033,2.05117e-07,1.51879e-07,7.97415e-07,5.86763e-08,1.5778e-07
1.18033,3.78262e-08,3.38444e-08,1.01035e-07,1.1507e-07,1.95556e-07
1.19033,3.11735e-07,1.94775e-07,4.4687e-07,1.26764e-07,9.40968e-08
1.20033,3.73465e-07,1.50973e-08,1.42999e-07,3.1004e-08,3.80458e-08
1.21033,3.84653e-07,6.46023e-08,1.29157e-07,7.27727e-08,1.46512e-07
1.22033,8.5866e-08,7.60745e-08,1.19173e-07,6.55207e-08,1.16846e-07
1.23033,6.30386e-08,1.94411e-08,4.16657e-09,7.32511e-08,2.62388e-08
1.24033,1.2175e-06,5.88721e-08,2.72726e-08,9.3749e-08,7.95355e-08
1.25033,9.87567e-08,4.98188e-08,8.23734e-08,2.51593e-07,1.22924e-08
1.26033,3.02644e-08,7.60228e-08,2.4283e-08,3.61135e-08,6.64507e-08
1.27033,2.47818e-07,7.75622e-08,2.9351e-07,5.93185e-08,2.62781e-07
1.28033,9.1287e-08,5.2061e-10,3.52549e-08,6.46159e-08,1.30595e-08
1.29033,8.47182e-08,2.64589e-08,3.68706e-07,3.37948e-08,1.55158e-08
1.30033,9.67442e-08,3.04322e-08,3.29128e-08,1.61017e-08,4.40056e-09
1.31033,2.10854e-07,1.72018e-07,9.24155e-09,9.88018e-08,3.28558e-09
1.32033,9.95497e-08,1.41512e-08,4.41729e-08,6.56759e-08,1.60703e-07
1.33033,2.7194e-07,4.21684e-08,2.71163e-08,6.69487e-09,1.66132e-07
1.34033,2.3134e-07,3.83516e-08,7.23469e-08,6.1192e-08,6.30416e-08
1.35033,6.54671e-08,3.1308e-09,4.23893e-09,7.38372e-08,2.52685e-08
1.36033,2.84432e-08,2.71475e-08,3.35094e-08,5.96678e-08,6.71073e-08
1.37033,1.64963e-07,9.16482e-09,6.25959e-08,8.49571e-09,6.44959e-08
1.38033,1.69317e-07,9.87552e-09,1.03286e-07,1.67335e-08,1.49523e-08
1.39033,9.4555e-08,1.82608e-08,3.66511e-07,5.31729e-08,3.78404e-08
1.40033,2.88855e-08,6.45851e-08,8.9064e-10,7.43053e-09,3.24998e-09
1.41033,7.32715e-08,4.48139e-08,2.84127e-08,1.27446e-08,1.83261e-07
1.42033,3.4061e-08,2.90715e-08,8.56869e-08,9.83966e-08,2.67773e-09
1.43033,1.86273e-08,3.1533e-09,4.88961e-10,3.71723e-08,7.34449e-09
1.44033,8.0164e-08,9.09212e-09,1.23863e-08,3.06224e-08,8.59055e-08
1.45033,9.48744e-10,8.51059e-09,5.52104e-09,4.52851e-08,2.43743e-08
1.46033,7.58172e-08,2.49433e-08,3.46569e-08,8.01541e-09,1.19583e-07
1.47033,5.62997e-08,4.43264e-08,1.04291e-07,1.2897e-08,2.25026e-08
1.48033,3.46931e-07,5.08527e-08,1.60907e-08,8.9607e-09,6.41314e-09
1.49033,3.22304e-08,2.46525e-08,2.70788e-07,8.14726e-09,4.9948e-08
1.50033,4.08033e-08,2.28239e-09,1.48516e-08,4.07903e-09,1.23443e-08
1.51033,3.04022e-08,1.42434e-08,2.51658e-09,1.72175e-08,4.86607e-09
1.52033,2.32683e-08,2.31098e-09,3.02087e-08,4.92139e-08,8.67782e-08
1.53033,1.257e-07,1.51004e-08,1.72718e-08,5.80036e-08,6.43816e-08
1.54033,4.63682e-08,7.80664e-10,1.28243e-08,2.91474e-08,1.28314e-09
